How many FEMALE students in Alternative Education  Level III have other mental disability or learning difficulty?
How many students enrolled in Level I of Alternative Education  are MALES?
How many students enrolled in Level II of Alternative Education  are MALES?
How many students enrolled in Level III of Alternative Education  are MALES?
How many students enrolled in Level I of Alternative Education  are FEMALES?
How many students enrolled in Level II of Alternative Education  are FEMALES?
How many students enrolled in Level III of Alternative Education  are FEMALES?
How many students age less than 10 enrolled in Level I of Alternative Education  are MALES?
How many students age less than 10 enrolled in Level II of Alternative Education  are MALES?
How many students age less than 10 enrolled in Level III of Alternative Education  are MALES?
How many students age less than 10 enrolled in Level I of Alternative Education  are FEMALES?
How many students age less than 10 enrolled in Level II of Alternative Education  are FEMALES?
How many students age less than 10 enrolled in Level III of Alternative Education  are FEMALES?
How many students age between 10 to 15  enrolled in Level I of Alternative Education  are MALES?
How many students age between 10 to 15  enrolled in Level II of Alternative Education  are MALES?
How many students age between 10 to 15  enrolled in Level III of Alternative Education  are MALES?
How many students age between 10 to 15 enrolled in Level I of Alternative Education  are FEMALES?
How many students age between 10 to 15 enrolled in Level II of Alternative Education  are FEMALES?
How many students age between 10 to 15 enrolled in Level III of Alternative Education  are FEMALES?
How many students age between 15 to 20 enrolled in Level I of Alternative Education  are MALES?
How many students age between 15 to 20 enrolled in Level II of Alternative Education  are MALES?
How many students age between 15 to 20 enrolled in Level III of Alternative Education  are MALES?
How many students age between 15 to 20 enrolled in Level I of Alternative Education  are FEMALES?
How many students age between 15 to 20 enrolled in Level II of Alternative Education  are FEMALES?
How many students age between 15 to 20 enrolled in Level III of Alternative Education  are FEMALES?
How many students age between 20 to 25 enrolled in Level I of Alternative Education  are MALES?
How many students age between 20 to 25 enrolled in Level II of Alternative Education  are MALES?
How many students age between 20 to 25 enrolled in Level III of Alternative Education  are MALES?
How many students age between 20 to 25 enrolled in Level I of Alternative Education  are FEMALES?
How many students age between 20 to 25 enrolled in Level II of Alternative Education  are FEMALES?
How many students age between 20 to 25 enrolled in Level III of Alternative Education  are FEMALES?
How many students age between 25 to 30 enrolled in Level I of Alternative Education  are MALES?
How many students age between 20 to 25 enrolled in Level II of Alternative Education  are MALES?.1
How many students age between 25 to 30 enrolled in Level III of Alternative Education  are MALES?
How many students age between 25 to 30 enrolled in Level I of Alternative Education  are FEMALES?
How many students age between 25 to 30 enrolled in Level II of Alternative Education  are FEMALES?
How many students age between 25 to 30 enrolled in Level III of Alternative Education  are FEMALES?
How many students age between 30 to 35 enrolled in Level I of Alternative Education  are MALES?
How many students age between 30 to 35 enrolled in Level II of Alternative Education  are MALES?
How many students age between 30 to 35 enrolled in Level III of Alternative Education  are MALES?
How many students age between 30 to 35 enrolled in Level I of Alternative Education  are FEMALES?
How many students age between 30 to 35 enrolled in Level II of Alternative Education  are FE MALES?
How many students age between 30 to 35 enrolled in Level III of Alternative Education  are FEMALES?
How many students age greater than  35 enrolled in Level I of Alternative Education  are MALES?
How many students age greater than  35 enrolled in Level II of Alternative Education  are MALES?
How many students age greater than  35 enrolled in Level III of Alternative Education  are MALES?
How many students age greater than  35 enrolled in Level I of Alternative Education  are FEMALES?
How many students age greater than  35 enrolled in Level II of Alternative Education  are FEMALES?
How many students age greater than  35 enrolled in Level III of Alternative Education  are FEMALES?
How many students enrolled in Level I of Alternative Education  are MALES?.1
How many students enrolled in Level I of Alternative Education  are FEMALES?.1
How many students enrolled in Level II of Alternative Education  are MALES?.1
How many students enrolled in Level II of Alternative Education  are  FEMALES?
How many students enrolled in Level III of Alternative Education  are FEMALES?.1
How many students enrolled in Level III of Alternative Education  are MALES?.1
